LABEL,CLASS_0,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,attractiveness,OBJECTID,GNIS_FEATU,FEATURE_NA,CTU_CLASS,COUNTY_GNI,COUNTY_COD,COUNTY_NAM,POPULATION,SHAPE_Leng,ORIG_FID,UNIQUE_ID,Shape_Length,Shape_Area,LABEL_1
UNIQU_0,0,5206,1286,84784,3717,7009,0.877786710064509,1,663375,Aastad,TOWNSHIP,659501,56,Otter Tail,195,38337.759214300000167,2485,0,38337.759214274839906,91800748.063318729400635,UNIQU_0
UNIQU_1,0,7135,4896,71613,6139,10291,0.803644303215620,2,663376,Acoma,TOWNSHIP,659491,43,McLeod,1152,39832.674864599997818,1290,1,39832.674864622713358,90093002.979645103216171,UNIQU_1
UNIQU_2,0,8293,6402,75721,4982,6622,0.824280533228779,3,663377,Acton,TOWNSHIP,659492,47,Meeker,383,43802.703945200002636,1833,2,43802.703945176865091,91813498.203564032912254,UNIQU_2
UNIQU_3,0,103,11,556,3185,0,0.974241245136187,4,2393879,Ada,CITY,659499,54,Norman,1773,10070.458413099999234,608,3,10070.458413067195579,3461070.265894209500402,UNIQU_3
UNIQU_4,0,43,438,1321,1080,0,0.895385149201943,5,2393881,Adams,CITY,659495,50,Mower,697,6454.094187800000327,425,4,6454.094187796566985,2607377.162853583693504,UNIQU_4
UNIQU_5,0,1596,3317,90476,5234,41,0.965552729873639,6,663380,Adams,TOWNSHIP,659495,50,Mower,439,45093.849720799997158,1450,5,45093.849720792270091,90646399.385831207036972,UNIQU_5
UNIQU_6,0,4236,679,91739,3683,2317,0.936322013754944,7,663382,Adrian,TOWNSHIP,659527,83,Watonwan,128,42302.755774199998996,110,6,42302.755774208606454,92389121.819961667060852,UNIQU_6
UNIQU_7,0,31,130,649,2451,6,0.965748393021120,8,2393884,Adrian,CITY,659498,53,Nobles,1211,14463.427169900000081,2175,7,14463.427169866501572,2938520.120188866276294,UNIQU_7
UNIQU_8,0,3772,23206,70099,4677,125,0.828783164342014,9,663383,Aetna,TOWNSHIP,659504,59,Pipestone,190,44650.477921400000923,2526,8,44650.477921390425763,91690737.835799038410187,UNIQU_8
UNIQU_9,0,991,28348,34759,8132,3532,0.717104881074945,10,2393887,Afton,CITY,659526,82,Washington,2983,38777.889558100003342,626,9,38777.889558123912138,68160045.614544302225113,UNIQU_9
UNIQU_10,0,58606,38103,4138,3090,42,0.272456938420258,11,663394,Alango,TOWNSHIP,662850,69,Saint Louis,289,38739.494657199997164,2493,10,38739.494657191185979,93536409.738423869013786,UNIQU_10
UNIQU_11,0,37418,1688,56642,3409,8139,0.600842529078437,12,663385,Agassiz,TOWNSHIP,659482,37,Lac qui Parle,91,50275.658550599997398,76,11,50275.658550598425791,96575008.557444363832474,UNIQU_11
UNIQU_12,0,69467,2641,51303,2614,1324,0.486223684520491,13,663386,Agder,TOWNSHIP,659489,45,Marshall,110,43421.182414100003371,1941,12,43421.182414064467594,114618771.255459770560265,UNIQU_12
UNIQU_13,0,29865,47403,13360,3086,8862,0.374295156761816,14,663395,Alaska,TOWNSHIP,659449,04,Beltrami,206,48361.155431999999564,647,13,48361.155431974635576,92310323.431859806180000,UNIQU_13
UNIQU_14,0,18225,4641,31341,2298,1168,0.647060149463354,15,663387,Agram,TOWNSHIP,659494,49,Morrison,550,28931.696872799999255,786,14,28931.696872775184602,51917766.988127239048481,UNIQU_14
UNIQU_15,0,2648,941,1187,3571,38,0.643911747167561,16,2393894,Aitkin,CITY,663198,01,Aitkin,2266,41176.159029100002954,12,15,41176.159029088150419,7570687.057845544070005,UNIQU_15
UNIQU_16,0,31379,14058,38993,5050,6971,0.547470736436118,17,663389,Aitkin,TOWNSHIP,663198,01,Aitkin,950,71042.821230999994441,1399,16,71042.821230951187317,86826767.773592621088028,UNIQU_16
UNIQU_17,0,6734,68252,11717,4821,7554,0.449264216072186,18,663391,Akeley,TOWNSHIP,659474,29,Hubbard,578,47163.681448600000294,535,17,47163.681448619849107,89177276.148678213357925,UNIQU_17
UNIQU_18,0,23,32,260,319,0,0.937066246056782,19,2393928,Alpha,CITY,659477,32,Jackson,106,5131.582336280000163,840,18,5131.582336281143398,561044.429713063407689,UNIQU_18
UNIQU_19,0,483,1419,1125,1136,120,0.671702077982722,20,2393895,Akeley,CITY,659474,29,Hubbard,426,8500.800978999999643,542,19,8500.800979002413442,3845927.537624790798873,UNIQU_19
UNIQU_20,0,17507,809,79668,3492,466,0.836105824880815,21,663393,Akron,TOWNSHIP,659528,84,Wilkin,132,38323.566495300001407,355,20,38323.566495284561825,91747628.801412791013718,UNIQU_20
UNIQU_21,0,2640,4484,93514,4082,155,0.950213110846246,22,663419,Alta Vista,TOWNSHIP,659486,41,Lincoln,162,38839.524867799998901,2325,21,38839.524867750973499,94391177.435646444559097,UNIQU_21
UNIQU_22,0,30910,1426,101138,5639,14450,0.719173238345174,23,663392,Akron,TOWNSHIP,659451,06,Big Stone,159,58312.219793900003424,2634,22,58312.219793914897309,138217269.107733607292175,UNIQU_22
UNIQU_23,0,1866,1509,92870,5050,197,0.972590943128522,24,663396,Alba,TOWNSHIP,659477,32,Jackson,167,38177.261395000001357,618,23,38177.261395011817513,91341397.258397638797760,UNIQU_23
UNIQU_24,0,7957,2923,85338,5280,2541,0.889886484875864,25,663420,Alton,TOWNSHIP,659525,81,Waseca,420,38688.943720800001756,663,24,38688.943720761730219,93664087.555265232920647,UNIQU_24
UNIQU_25,0,26869,13193,7621,2568,2292,0.345490360276345,26,663472,Atkinson,TOWNSHIP,659454,09,Carlton,417,29128.440872300001502,2150,25,29128.440872345945536,47111786.305631242692471,UNIQU_25
UNIQU_26,0,2817,19715,96662,4574,63,0.883492017346222,27,663421,Altona,TOWNSHIP,659504,59,Pipestone,121,42424.115159100001620,1898,26,42424.115159108143416,111471698.378073707222939,UNIQU_26
UNIQU_27,0,147,46,1170,4449,689,0.869420089217044,28,2393898,Albany,CITY,659517,73,Stearns,2837,23118.278199299998960,947,27,23118.278199345382745,5855013.500798163004220,UNIQU_27
UNIQU_28,0,4267,745,93711,3568,1743,0.942035296153181,29,663473,Atlanta,TOWNSHIP,659448,03,Becker,114,38673.320698099996662,2320,28,38673.320698143281334,93638052.655719205737114,UNIQU_28
UNIQU_29,0,258,22,656,1849,224,0.844001329345297,30,2394020,Atwater,CITY,659479,34,Kandiyohi,1137,13466.131733599999279,1555,29,13466.131733559011991,2724459.303153763059527,UNIQU_29
UNIQU_30,0,9955,6458,80822,7239,835,0.870198178693179,31,663398,Albany,TOWNSHIP,659517,73,Stearns,994,63235.093174699999508,2716,30,63235.093174650137371,94780502.701005071401596,UNIQU_30
UNIQU_31,0,13453,16571,56271,5592,9184,0.690966746148747,32,663476,Audubon,TOWNSHIP,659448,03,Becker,655,49759.822337099998549,755,31,49759.822337092940870,90962133.937384247779846,UNIQU_31
UNIQU_32,0,3794,2768,6008,25672,5398,0.760004582951421,33,2393902,Albert Lea,CITY,659469,24,Freeborn,18500,80885.970979999998235,2458,32,80885.970979970952612,39286200.208977766335011,UNIQU_32
UNIQU_33,0,21,940,6561,1023,12,0.930477971251607,34,2393941,Altura,CITY,659529,85,Winona,468,12791.519405799999731,2327,33,12791.519405785118579,7705248.586644304916263,UNIQU_33
UNIQU_34,0,249,33,850,870,109,0.832828043581241,35,2394027,Audubon,CITY,659448,03,Becker,557,11245.267718900000546,1812,34,11245.267718866827636,1894497.963638152927160,UNIQU_34
UNIQU_35,0,1242,1674,97799,3540,13,0.979522000997430,36,663477,Augsburg,TOWNSHIP,659489,45,Marshall,74,38750.666646600002423,0,35,38750.666646623321867,93841188.451672479510307,UNIQU_35
UNIQU_36,0,8,0,35,559,0,0.988039867109634,37,2393942,Alvarado,CITY,659489,45,Marshall,396,4423.633096100000330,1894,36,4423.633096103410026,544232.386339685996063,UNIQU_36
UNIQU_37,0,7081,5397,41931,5538,8774,0.732467513569360,38,663402,Albert Lea,TOWNSHIP,659469,24,Freeborn,603,86762.438316900006612,2718,37,86762.438316895189928,61813692.681715667247772,UNIQU_37
UNIQU_38,0,16478,450,61993,3038,611,0.809722659561584,39,663478,Augusta,TOWNSHIP,659482,37,Lac qui Parle,96,40067.220095099997707,2314,38,40067.220095098578895,74363461.717073783278465,UNIQU_38
UNIQU_39,0,325,5,182,251,1,0.611910994764398,40,2393903,Alberta,CITY,659519,75,Stevens,91,3753.711185229999955,426,39,3753.711185233205470,686556.066244423622265,UNIQU_39
UNIQU_40,0,13667,9227,75438,5244,66,0.827265973254086,41,663399,Alberta,TOWNSHIP,659450,05,Benton,813,42957.811700899997959,695,40,42957.811700922640739,93283093.945834130048752,UNIQU_40
UNIQU_41,0,56767,40724,1463,1622,1415,0.245622652979184,42,663424,Alvwood,TOWNSHIP,659476,31,Itasca,41,38494.899132799997460,1931,41,38494.899132780243235,91768750.735727190971375,UNIQU_41
UNIQU_42,0,848,162,2556,9119,754,0.879872014286777,43,2393904,Albertville,CITY,659530,86,Wright,8220,15877.254501699999309,2721,42,15877.254501664034251,12111482.039814511314034,UNIQU_42
UNIQU_43,0,103936,92820,5,4835,5212,0.253189431743453,44,663479,Ault,TOWNSHIP,662850,69,Saint Louis,136,58119.267760599999747,1565,43,58119.267760639071639,186169267.653651833534241,UNIQU_43
UNIQU_44,0,4724,646,88906,4592,3385,0.921526018796515,45,663404,Albin,TOWNSHIP,659453,08,Brown,310,38406.647020600001269,87,44,38406.647020596436050,92029844.113665819168091,UNIQU_44
UNIQU_45,0,5524,32596,43472,4361,1845,0.699603635618123,46,663425,Amador,TOWNSHIP,659458,13,Chisago,890,38154.232563899997331,586,45,38154.232563878693327,79044041.659943804144859,UNIQU_45
